title,text,class
沪媒:李春江将操刀引援 大外援人选或锁定比斯利,"5月20日，经过俱乐部管理层慎重考虑并与李春江本人协商长远发展目标后决定，曾经率领两支不同球队进入总决赛的冠军教头将在新赛季执掌大鲨鱼的教鞭。





完成五年之约 憾别浙江广厦

缘分也好，巧合也罢。李春江的新东家上海男篮，是他以浙江广厦主教练身份执教的最后一场比赛的对手。在2020年的岁末，深耕球队七年有余的李春江离开了浙江广厦的帅位，一时间引起了外界的一片哗然。

作为辽宁男篮“黄金一代”的核心，李春江在1993年以球员兼助理教练的身份加入广东男篮，并且在2001年从张勇军手中接过了主教练的职务，正式开启了自己的主教练生涯。在执教广东男篮的12年间，李春江帮助球队夺得了七次总冠军，跻身联盟名帅行列，彼时没有人会料想到这个扎根广东东莞20年的东北汉子会前往浙江杭州，成为浙江广厦的新帅。

据国内媒体报道，在出任浙江广厦主教练伊始，李春江曾经向球队投资人楼明立下军令状，承诺在五年之内率领球队进入总决赛，“我们干竞技体育的，怎么会没有高目标呢？要不然我们做这个事为什么？”尽管连续四年折戟季后赛首轮，但李春江在执教球队的第五个年头兑现诺言，带领球队以常规赛冠军的身份一路击败深圳和山东，站上了总决赛的舞台。

遗憾的是，在2017-2018赛季总决赛中，浙江广厦成为了辽宁男篮击碎“千年老二”名号的背景板，遭到了对手的横扫，而这也成为了李春江和浙江广厦距离总冠军奖杯最近的一次，“八年前我来到浙江广厦担任主教练，通过教练组和全体队员的共同努力，我们完成了制定的目标。接下来，我会有新的起点。感谢所有球迷对广厦的支持，感谢全体工作人员对我工作上的支持，我会继续努力，全力以赴，不负所爱。”

谈判一拍即合 带来左膀右臂

在离开浙江广厦主教练岗位之后，李春江在上赛季后半阶段以球队顾问的身份陪伴球队完成了整个赛季，但对于争强好胜的他而言，这段沉寂和平静，更像是一种蓄势待发，为未来的东山再起积蓄能量，而连续两个赛季不尽如人意的上海男篮恰好抛出了橄榄枝。一边是亟需统帅带领球队走出困境，一边是渴望在新的环境证明自己，双方的一拍即合也成为了顺理成章的事情。

据了解，在CBA联赛以赛会制方式进行的情况下，上海男篮管理层在赛季临近结束之际就已经开始联系李春江，询问其是否愿意执掌大鲨鱼的教鞭。在连续两个赛季无缘季后赛之后，换帅便被球队排上了议事日程，而兼具实力与名气的李春江自然成为了不二选择，“事实上，不止一支球队向李春江发出了邀约，但最终综合多方面考量，他还是选择了上海男篮。”据球队内部人士透露，俱乐部高层希望李春江的到来一方面能够帮助球队提升战绩，另一方面希望他可以帮助球队一改“乖乖虎”的形象，在比赛气质方面有所提升，“我们球队有时候在场上打球太‘文静’了，因此需要一些激情去带动这支球队。”

众所周知的是，李春江的执教风格一向以火暴而著称，无论是执教广东男篮期间，告诫外援布鲁克斯“要是马布里上腿就掀翻他”，还是上赛季与裁判之间的多次对峙，都成为了CBA联赛的名场面，但不可否认的是，他的这种性格和对待比赛的态度给球队烙下了防守强硬的标签，“我们希望李春江指导可以给球队注入一些不同的内容。外界可能会认为有时候他的要求过于苛刻，或者不太给球员留面子，但我们相信他可以把握好这个尺度和分寸，从而去激发球员的潜能，唤醒他们的求胜欲，养成一种良好的习惯。”值得一提的是，随着戴昊、李添荣、张知篧等年轻球员上调一队，再加上郭昊文和区俊炫，渴望刮起青春风暴的上海男篮，同样希望李春江能够一如当初培养孙铭徽、胡金秋等球员，帮助这些“幼鲨”顺利地成长为球队的中坚力量，“感谢李导这几年对我的教导。六年CBA的时光里离不开您的帮助和鼓励，我会继续努力，不辜负您的期望，祝您一切顺利。”浙江广厦球员胡金秋说道。

根据计划安排，上海男篮将于6月初进行集中，开启赛季夏训，届时俱乐部将充分尊重以及支持李春江主教练组建新赛季的教练团队。如果不出意外的话，与浙江广厦同时完成解约的接君和王学力将跟随李春江的脚步，一同加盟上海男篮，成为他身边的左膀右臂和得力干将，“很高兴能够加入上海男篮，心情比较激动。来到上海等于是从零开始，我会把自己的工作全力以赴做好，带领队伍一步步往前走。希望上海球迷能够继续支持球队，我们会全力以赴打好比赛，取得好的成绩回报球迷。”李春江说道。

全力支持引援 解决后顾之忧

据了解，俱乐部已经与李春江就阵容结构进行了初步的沟通，在对休赛期的引援达成一致之后，俱乐部将竭尽全力，尽可能地满足教练组的引援需求。与此同时，球队的“瘦身”同样在所难免，在部分球员合同到期的情况下，他们的去留与否同样取决于李春江。

在执教浙江广厦期间，李春江麾下的这支球队一度被外界称为CBA联赛中的“最强全华班”。受制于外援人选方面的困扰，浙江广厦成为了外界公认的一支被外援耽误的球队。在2017-18赛季进入总决赛之后，浙江广厦没有与博洛西斯和福特森进行续约，而是签下了名气更大的法里埃德，收效甚微，虽然先后签下普拉姆利、韦伯斯特和威尔斯，但却无法帮助球队重新回到争冠的行列。上赛季，浙江广厦在赛季初签下了此前曾经戏耍过球队的威尔森·钱德勒，却未曾料想再度遭到其玩弄，导致球队大部分时间只能以单外援应战，间接导致了李春江的离任。

据知情人士透露，在加盟上海男篮之后，李春江在引援方面将获得足够的话语权，而球队也将吸取过去两个赛季在外援方面的经验教训，尽可能寻找优质、合适的外援帮助球队取得好的成绩。

而有消息称，上海队这一次伴随着李春江到来，还非常有希望完成一位CBA老熟人大外援的加盟，目前这位大外援的人选并没有透露，有很多球迷猜测可能是比斯利，毕竟这位超级得分手此前在CBA充分证明了自己的价值

手握说明书 师徒再相逢

对于在CBA联赛执教多年的李春江而言，对于上海男篮球员的个人能力及技术特点，虽称不上了如指掌，但也略知一二，其中董瀚麟和刘铮都曾经是他的爱将。自2008年登陆CBA联赛，董瀚麟在生涯前三个赛季便跟随广东男篮拿到了三连冠，并且在李春江麾下成为了球队的主力轮换球员，直到2017年转投上海男篮。

另一位老熟人刘铮，作为林志杰的接班人，在浙江广厦效力了四个赛季。在李春江的麾下，刘铮在攻防两端都成为了球队不可或缺的存在，并且凭借优异的表现，在上赛季加盟了上海男篮，但多少出现了一些水土不服的迹象，“这绝对是自己打的最差的一个赛季。我常常在想是不是自己的能力已经达不到原来的程度了，但其实到了一个新的环境，也需要自己去适应。随着年纪慢慢增长，需要在某些地方慢慢转型，变得更加成熟。”随着李春江的到来，外界期待手握说明书的他，可以将熟悉的刘铮带到上海男篮。

执教广东男篮12个赛季，夺得七次总冠军；执教浙江广厦7个赛季，连续七年进入季后赛，取得队史最佳战绩；一向以不服输劲头示人的李春江将自己执教生涯的第三站锁定在了上海，外界期待着双方合作能够碰撞出耀眼的火花，帮助上海男篮重塑辉煌。",体育
梁诺恒赛后缝15针:唯一目标是帮助浙江冲超 泪目了,"网易体育5月16日报道：

在浙江队2:0战胜新疆队的比赛中，梁诺恒在第8分钟就头部受伤。在经过包扎后，梁诺恒继续坚持比赛，但在比赛中几次到场边进一步接受治疗。到了比赛的最后阶段，实在无法“扛下去”的梁诺恒被孙正傲替换下场。





比赛一结束，梁诺恒的头部就进行了缝针，结果一共缝了15针。在缝完针后，梁诺恒依然微笑着——无论球场上还是球场下，梁诺恒都喜欢用微笑面一切，包括困难和受伤。

梁诺恒是浙江队本赛季非常成功的一个引援，他和浙江队也是非常有缘。上赛季加盟梅州客家后，他代表球队和浙江队3次交手，本赛季则干脆加盟了浙江队。而对于中超和中甲联赛，港脚梁诺恒的最初印象是来自曾经效力过浙江队的前港脚吴伟超：“在内地踢联赛的香港球员不多，吴伟超大哥让我有了努力的目标，希望也能到水平更高的内地联赛来踢球。”

说到加盟浙江队，梁诺恒表示，这是一支非常职业的球队，去年他就发现浙江队的实力很强：“浙江队去年是冲超热门，我是那种对手越强我就越兴奋的球员，每次踢浙江队的时候，我就特别兴奋。我曾经和家人讨论过自己的职业生涯，他们希望我能在一家很规范、很稳定和很有前途的俱乐部踢球，所以我选择了浙江队。”

在港超，梁诺恒就是在家门口踢球，在港队，还有同为踢后卫、年长两岁的哥哥梁冠聪照看着（港队中也以“大佬”、“细佬”称呼这兄弟俩），现在来到浙江队后，“细佬”梁诺恒表示没有不适感，因为他发现球队很团结：“我和队里大部分队友年龄都差不多，我普通话说得不是很好，队友就会教我，生活上也很照顾我，我在这边过得特别开心。”

在梁诺恒的眼里，主教练乔迪是一个很追求细节的人：“乔迪是西班牙人，他的打法就有西班牙足球的特点，讲究压迫和控球。他要求队员们有执行力，能追求整体足球。训练中他很认真地观察我们的表现，发现问题会及时指出，让我们改正。”

对于本赛季的目标，梁诺恒表示就是和浙江队一起冲超：“我们有非常好的团队，也有着强烈的冲超欲望，我们本赛季的唯一目标就是冲超成功。”",体育
赵继伟与丁俊晖切磋台球 翟晓川：不一杆清台？,"网易体育5月24日报道：

北京时间5月23日晚，赵继伟通过个人社媒上传了一组照片，内容是自己正与斯诺克名将丁俊晖一起打台球。赵继伟正式宣告了10天的个人假期结束，即将投入新的征程。





“跟球王打完球我突然觉得我的水平提高了一个level[哈哈][哈哈]十天假期结束！我也要开始新征程了！”赵继伟在个人微博上写道。

在该条微博所上传的三张照片中，赵继伟身穿黑色上衣，丁俊晖则一袭白色带斑点的休闲服，二人正在台球桌前切磋球技。有球迷感叹道：“姿势很标准噢小赵”“继伟全能！”

翟晓川在微博中进行了场外指导：“不一杆清台啊？”赵继伟回复道：“高手对决哪有那么容易？”二人的互动也引起了球迷的关注。

在CBA赛季结束后，赵继伟又跟随辽宁队出战了全运会男篮预赛，并取得了5战全胜。之后他迎来了宝贵的10天假期。接下来，赵继伟还将面临男篮亚预赛以及奥运会落选赛的出征任务。







",体育
詹皇G1只是在试探太阳?历史数据显示G2他必爆发,"网易体育5月26日报道：

在湖人90比99不敌太阳输掉季后赛首轮第一场比赛之后，勒布朗-詹姆斯说他在试探对手，同样的话，他在往年也曾说过。若真如他所言，第二战将是他的爆发之战，历史数据也支持这一点——

自2009年以来，当勒布朗输掉季后赛G1，他在G2的场均数据是29.0分8.9个篮板7.5次助攻。

生涯至今，勒布朗14次杀进季后赛，从未在首轮出局，在目前的季后赛赛制下（1984年起），只有罗伯特-霍里和费舍尔的成绩比他好（16胜0负）。

对于勒布朗来说，今天是个特殊的日子，4年前的今天，东部决赛G5，骑士对阵凯尔特人，勒布朗在第三节拿到个人季后赛生涯第5989分，由此超越乔丹（5987），成为季后赛历史得分王，如今勒布朗的季后赛总分已经达到7509分。

今年季后赛首轮G1，勒布朗出战36分钟，13投6中得到18分10助攻7篮板5失误，右脚踝伤势看起来对他仍有影响。",体育
惨!最后时刻争4掉队 那不勒斯主帅加图索官宣离任,"网易体育5月25日报道：

那不勒斯官推在今天发布了球队前主帅加图索将要离任的消息。





加图索也发长文告别那不勒斯。他表示：执教那不勒斯是一段美妙的经历。

加图索于2019年12月12日接任那不勒斯主帅，执教期间共带队参赛81场，战绩为47胜12平22负，那不勒斯最终在意甲排名第五。此前他还曾执教过锡永、帕勒莫、克里特、比萨和AC米兰。",体育
热天跑步大腿易摩擦受伤 5个技巧可预防,"网易体育5月25日报道：

热天进行一次酣畅淋漓的跑步，是很爽的一件事。但是，有一个隐患容易被跑者们忽视，那就是因汗水而导致的大腿擦伤。跑步出汗之后，大腿之间的摩擦增加，很容易擦伤皮肤。掌握下面5个技巧后，就能避免这种情况发生。





补足水分

当身体缺水的时候，汗液中的盐浓度会增加，而这会导致皮肤之间的摩擦增强，从而更容易出现擦伤。因此，跑者要一直保持体内水分充足，特别是夏天，需要补充更多的水分。

选择正确的短裤

要想避免大腿因汗水而擦伤，长款的紧身短裤是正确的选择，它能够让大腿内侧的皮肤避免接触。另外，短裤在大腿内侧的区域不要有缝合线，也不要选择棉质的短裤，因为吸水会让皮肤更粘。

使用大腿绷带

如果跑者不喜欢穿紧身的短裤，那么可以尝试使用大腿绷带。当然，一定要确保是专门用于运动的绷带。跑步之前就把绷带包绕大腿，阻止了大腿根部之间的皮肤摩擦。在预防擦伤方面，具有很好的效果。

涂抹润滑剂

既然出汗增加了皮肤之间的摩擦力，那么不妨涂抹润滑剂来减小摩擦力。凡士林是比较常用的润滑剂，跑步之前在大腿根处周围涂抹一些，这样跑步时就能避免擦伤了。

使用婴儿粉（滑石粉）

婴儿粉购买比较容易，价格不贵，但对于预防大腿擦伤很有效果。每次跑步之前，在大腿根处及其周围均涂抹一些即可。",体育
本轮最佳?武汉铁卫轰30米重炮 外脚背弧线门将懵了,,体育
哈登21+9+8盘活全队 出手13次季后赛从未如此轻松,"网易体育5月23日报道：

在东部首轮季后赛，篮网104-93战胜凯尔特人，拿下1-0的大比分领先。詹姆斯-哈登13投5中得到21分8篮板8助攻。在火箭时期，哈登季后赛出手不超过13次的战绩只有3胜7负。

虽然篮网常规赛打出了恐怖的进攻效率，但在季后赛第一场，他们的开局打得并不好看，包括哈登在内，他们在外线毫无准星。虽然跟杜兰特和哈里斯打出了精彩的内线配合，但他自己的后撤步跳投是毫无斩获。

篮网首节仅得到16分，哈登3中1得到2分3助攻。第二节开局绿军用一波7-0拉开比分，篮网暂停后，哈登决定接管比赛，连续突破单打创造罚球机会，还抢断帕克助克拉克斯顿扣篮得手，仿佛回到了他在火箭的打法。但这相当有效，篮网迅速填坑。

但没有三分，不适应防守强度，让篮网整体效率并未好转多少，哈登半场7中2拿到8分4篮板6助攻。

下半场开局，哈登终于命中后撤步三分，跟杜兰特联手帮助篮网反超。篮网进入了熟悉的节奏，杜兰特欧文都在外线开张，哈登7分16秒在弧顶迎着防守者手起刀落再进后撤三分，篮网不到5分钟打出18-4。

篮网最终在第三节净胜11分，第四节哈登在杜兰特欧文休息期间带队稳住阵脚，绿军的严密防守还是给他的跳投出手制造了不小的压力。

但当哈登休息、欧文回归后，场上形势突变，欧文凭个人能力连续飙进高难度跳投，杜兰特又反击扣篮得手，篮网瞬间领先10分——这显然就是篮网跟火箭不一样的地方了，哈登再也不用担心自己这个点失灵会拖垮全队。

4分40秒哈登重新回归，篮网已经胜券在握，欧文的强势让篮网轻松上分，哈登2分58秒助攻格林飙进三分，比赛逐渐进入了垃圾时间。虽然此后沃克连拿10分，把分差缩小到个位数，但欧文和哈登的罚球最终终结了比赛悬念。",体育
马拉松运维之考：国营企业首先保证比赛品质和安全,"2019年全国越野跑共举办481场，在规模赛事数量中位居第一，但被认证的赛事仅有11场。

马拉松运维之考

甘肃白银山地马拉松事故或为国内高速发展的马拉松赛事按下了“暂停键”。此前，受益于多方主体需求，加之参赛门槛不高，中国马拉松赛事规模不断攀升。而当下，全行业开始驻足审视马拉松行业专业性和精细化能否匹配它的速度。（包芳鸣）

2021（第四届）黄河石林百公里越野赛遭遇天气之变的公共安全事件仍在发酵。5月24日，21名遇难者家属陆续抵达白银，而事故详细原因尚在调查中。

这场因为极端天气带来的赛事把控不力的短板，也再度将包括马拉松在内的各种跑步运动推向风口浪尖。

“近几年，我国马拉松赛事进入快速发展期，除城市马拉松赛事外，越野跑也备受关注。”武汉汉马体育管理有限公司总经理包波在接受21世纪经济报道记者采访时表示，相比于运营较为成熟的城市马拉松，越野跑因其客观因素限制，救助难度较高，一旦组委会筹备不足，将导致安全风险大幅提升。

曾运营过国内多个马拉松赛事、马拉松爱好者、悦森体育总经理夏瑞认为，进行极限运动，首先需要在大量训练基础上明确自我实力，其次是能够在比赛过程中，把握身体状态。而在国际倡导的“safe sport（安全运动）”理念下，无论是赛事运营者还是跑者，面对“极限”运动的实力和心态都正在考验这个行业的成熟度。

“越野跑”的运维大考

在国内，随着需求端对健康的需求攀升，门槛较低的各类跑步运动正在初步形成一个产业链条。

中国田径协会数据显示，中国马拉松规模赛事大致可分为10类，如全程马拉松、半程马拉松、越野跑、迷你跑等，其中，在2019年全国越野跑共举办481场，在规模赛事数量中位居第一，但被认证的赛事仅有11场。

武汉汉马体育管理有限公司于2016年开始运营马拉松比赛项目，在越野赛事运营方面，公司经过综合研判后选择放弃。包波解释，“首先越野比赛存在一定风险，且野外救援力量的投入较大。其次受天气等客观不可控因素影响较多。再次，选手数量级很难提升，从资源开发角度来看，仍存问题。”

越野跑的运营与城市马拉松存在诸多不同，且城市马拉松的运营已经较为成熟。从运营流程来看，运营方首先需要确定比赛时间、线路、规模，然后进行参赛人员的报名和抽签，之后是制定方案，其中包括医疗救助方案、应急管理方案以及相关保障方案，这方面一般需要与组委会其他职能部门协调，运营方主要负责竞赛方案。比赛之后则需要进行相应评估、总结。“举办一场城市马拉松，如武汉马拉松，其统筹保障部门接近40个单位，基本包括武汉市所有局、办。”包波补充，“相比较而言，越野跑很少涉及这么多部门，而又因比赛场地限制，公安力量也很少参与”，从而导致救助难度远大于城市马拉松，但救助力量又不及后者的局面。

这些因素也正在被监管部门所关注。在国内，关于越野跑和马拉松等体育赛事的风险控制机制方面正在加紧建设。

“越野跑参赛人数不多、规模较小，组委会投入力量起到关键作用。一旦出现极端情况，组委会就需要采取非常手段做出调整，包括比赛的熔断。”包波介绍，2020年新冠肺炎疫情之后，国内各大城市关于马拉松比赛的“熔断机制”开始建设。国家体育总局5月23日晚紧急召开“全国体育系统加强赛事安全管理工作会议”，会议强调，要有针对性地制定安全工作方案和应急预案，建立“熔断机制”。

跑者PB的安全完赛大考

白银越野跑遇难者中，多位是国内马拉松顶级跑者，在跑步运动上，越来越多的人在赛事成绩的PB（个人最佳成绩 personal best）上，不断追求着自己的极限。

“近几年，马拉松的参与者逐渐增多，但马拉松仍属极限运动。”包波认为，对参赛人员而言，首先不要过多关注成绩，以健康锻炼为第一要务，并且应该具备弃赛精神。此外，加强平时训练，具备基础保障不可或缺。“对普通人来说，最好的运动距离还是5-10公里，半程和全程马拉松其实并不适合多数人。”他认为，全民健身仍需做出正确引导，在提高身体素质的同时一定要确保安全。

国际AIMS丈量员、马拉松专业赛事从业人张东风指出，需要特别注意的是，真正的马拉松只有一个，标准距离42.195公里，为推广马拉松运动，马拉松又扩展出了相对参与门槛降低的项目，如半程马拉松、四分马拉松及迷你马拉松等。夏瑞同样认为，“此次发生事故赛事为越野赛，不属于马拉松赛，不能因为这个越野赛的事故而否定了中国蓬勃兴起的马拉松赛事。”

在这个基础上，夏瑞认为，参赛者需要明白自己出发的目的是在安全的条件下锻炼身体和挑战自己。实现上述的要求，“第一，需要心中有数，这需要在平时有足够的跑量，具备良好的心态，装备同样也是不可忽略的重点。第二，在马拉松赛道上，要清楚自己的身体状况，控制好自己的节奏状态，最核心的因素还是在于自己。”

“当前，大量参赛者仍然缺乏常识，尤其像这次面临失温情形的防范和应对，即便是国内最顶尖的选手，依然准备不足，缺乏一些必备的装备和药品，因而中国的户外运动赛事仍需要更专业的普及”，夏瑞补充道。

“城市马拉松”运维的专业度大考

在越野跑的背后，城市马拉松的热度还在攀升。

中国田径协会《2019中国马拉松大数据分析报告》显示，2019年，中国境内（不含香港、澳门、台湾地区）的所有地域内共举办规模赛事1828场，较2018年同比增长15.62%，累计参赛人次712.56万，较2018年同比增长22.22%。

此外，在全国337个城市（333个地级行政区和4个直辖市）中，共计300个城市举办过规模赛事，占比达89.02%。

除了赛事本身外，城市马拉松而言，其可以为城市发展带来诸多利好，包波举例，“如武汉马拉松的参赛人员约40%属省外人士，他们能推动旅游、餐饮、住宿方面的消费增长，一场比赛的直接收益约为1亿元，间接收益可达3亿元。新兴城市可以通过举办赛事完善城市形象，并且提升城市管理水平。”

城市马拉松赛事的运维中，监管和承办的衔接也还需加强。据悉，就举办马拉松赛事而言，国家体育总局主要履行服务和管理职责。“马拉松比赛项目的申报只需满足相应的基本要求，如每个CP点［打卡点CheckPoint（CP）点］上的物资、人员配置等，但总体来看，其只是作为一个下限标准存在”，包波指出，目前流程方面的把控由主办方负责，但主办方因其专业性缺失，大都由运营公司层面掌控和理解比赛，后者还需给政府层面提出要求。然而，“运营公司的资质、经费、保障力量往往存在较大差异”。

目前国内马拉松赛事的运营方可以大致分为国营和民营两类。民营企业考虑其盈利空间，需量入为出，比赛资金的限制使运营方在一些方面无暇顾及，国营企业首先保证比赛品质和安全，其次着眼比赛效益问题。包波认为，“从这个层面来看，国营企业能够履行相应社会责任。”

（作者：陈红霞,井然 编辑：包芳鸣）",财经
《一起深呼吸》迎收官 致敬援外医生彰显大爱无疆,"



网易娱乐4月20日报道 由北京爱奇艺科技有限公司、江苏稻草熊影业有限公司出品，北京曼茶罗影视文化传媒有限公司联合出品，龚宇、刘小枫、张语芯任出品人，王晓晖任总监制，杨蓓、张语芯任总制片人，唐锐、何麦、周咏蓝任制片人，斗琪任总导演，周咏蓝、黄雨佳任编剧，戚薇、杨祐宁领衔主演，张峻宁、朱珠（特邀出演）、高圣远（特邀出演）、何政军、涂凌、王策、翟小兴、王炳翔等主演的首部援外医疗群像剧《一起深呼吸》将于今晚正式收官。

专业获赞成绩喜人 剧集内核引发热议

《一起深呼吸》自3月23日开播以来，凭借真实专业的援外医生生活展现、紧张的悬疑线节奏和真挚动人的情感，引发了讨论热潮。豆瓣评分自开分以来持续走高，爱奇艺等多平台评分也十分亮眼。随着剧情持续发酵，热度不断攀升，微博#一起深呼吸#等话题矩阵阅读量达12亿+，讨论量超过100万+，剧集相关话题登上全网热搜60余次。剧中涉及到的生命价值、生育焦虑、代际关系等社会话题，具有深刻的现实意义，引发了观众的热议和反思。

齐心协力战胜疫情 援外精神深入人心

在今晚将播的大结局中，周悦（戚薇 饰）和王晓聪（王炳翔 饰）被选入塔塔岛医疗援助小分队，带领当地医院进行救治和防疫工作。在离开前，周悦对病床上的李天成（杨祐宁 饰）默默告别。在此刻，她把医生的职责与使命放在了第一位。两个月后，疫情得到了控制，隔离病区关闭，村子解封，人们的生活也恢复了正常。大家摘下口罩，重现笑脸，周悦和李天成也在克服了种种困难后终于走到了一起。

在两年的援札旅程中，援外小分队不仅帮助当地岛民完善了防疫体系，还培养起来一批骨干医护力量。众人在经历了札尔岛的风雨历练后，真正体悟了“希波克拉底誓言”的深层含义，更加坚定了救死扶伤的信念和决心。

人类是一个整体，同呼吸，共命运。《一起深呼吸》拓宽了国产剧医疗题材的维度，同时让观众看到了中国援外医生的可爱与伟大，也让“不畏艰苦、甘于奉献、救死扶伤、大爱无疆”的中国援外医疗精神深入人心。《一起深呼吸》大结局将于今晚20：00在爱奇艺播出，VIP会员抢先看六集。",娱乐
